timestamp,ppg_raw,diff,classification
1773387435.563123,204895,187.0,VALID
1773387435.680626,205257,362.0,VALID
1773387435.7712371,204929,328.0,VALID
1773387435.8611588,205306,377.0,VALID
1773387435.980717,206884,1578.0,VALID
1773387435.9809952,16056,190828.0,POSSIBLE_PHYS_CHANGE
1773387436.008387,13946,2110.0,VALID
1773387436.038819,13030,916.0,VALID
1773387436.069283,12952,78.0,VALID
1773387436.0721989,13318,366.0,VALID
1773387436.101928,14331,1013.0,VALID
1773387436.1324391,15242,911.0,VALID
1773387436.132692,16735,1493.0,VALID
1773387436.162857,18727,1992.0,VALID
1773387436.1895769,22660,3933.0,VALID
1773387436.219139,27648,4988.0,VALID
1773387436.220356,34293,6645.0,VALID
1773387436.248163,40766,6473.0,VALID
1773387436.2809138,49270,8504.0,VALID
1773387436.281206,57319,8049.0,VALID
1773387436.3084118,65009,7690.0,VALID
1773387436.338912,72177,7168.0,VALID
1773387436.368432,81794,9617.0,VALID
1773387436.370365,93783,11989.0,VALID
1773387436.3988512,107385,13602.0,VALID
1773387436.428461,127724,20339.0,MOTION_ARTIFACT
1773387436.458911,169045,41321.0,POSSIBLE_PHYS_CHANGE
1773387436.460502,233851,64806.0,POSSIBLE_PHYS_CHANGE
1773387436.488263,262140,28289.0,POSSIBLE_PHYS_CHANGE
1773387436.520694,262140,0.0,VALID
1773387436.520982,262140,0.0,VALID
1773387436.54939,262140,0.0,VALID
1773387436.578559,262140,0.0,VALID
1773387436.6093812,262140,0.0,VALID
1773387436.6122072,262140,0.0,VALID
1773387436.641629,262140,0.0,VALID
1773387436.671316,262140,0.0,VALID
1773387436.671529,262140,0.0,VALID
1773387436.702831,262140,0.0,VALID
1773387436.732415,262140,0.0,VALID
1773387436.760978,262140,0.0,VALID
1773387436.761255,262140,0.0,VALID
1773387436.7886348,262140,0.0,VALID
1773387436.819044,255772,6368.0,VALID
1773387436.820265,250123,5649.0,VALID
1773387436.849379,239952,10171.0,VALID
1773387436.878667,233192,6760.0,VALID
1773387436.939082,222505,10687.0,VALID
1773387436.94092,214599,7906.0,VALID
